"","area_dest","both_1990","both_1995","both_2000","both_2005","both_2010","2015","male_1990","male_1995","male_2000","male_2005","male_2010","female_1990","female_1995","female_2000","female_2005","female_2010"
"158","Anguilla","2 570","3 317","4 063","4 684","5 103","5 470_2 593_2 877","1 258","1 584","1 910","2 210","2 415","1 312","1 733","2 153","2 474","2 688"
"159","Antigua and Barbuda","12 029","17 550","23 071","24 741","26 412","28 083_12 524_15 559","5 775","8 046","10 316","11 052","11 788","6 254","9 504","12 755","13 689","14 624"
"160","Aruba","14 444","22 274","30 104","32 540","34 327","36 114_16 108_20 006","6 429","9 974","13 519","14 559","15 311","8 015","12 300","16 585","17 981","19 016"
"161","Bahamas","26 855","31 654","36 454","45 595","54 736","59 306_29 994_29 312","13 827","16 620","19 414","23 646","27 878","13 028","15 034","17 040","21 949","26 858"
"162","Barbados","24 024","26 224","28 424","30 624","32 825","34 475_15 488_18 987","10 065","11 235","12 405","13 575","14 746","13 959","14 989","16 019","17 049","18 079"
"163","Bonaire, Sint Eustatius and Saba","38 410","42 258","46 105","49 105","11 445","13 002_6 292_6 710","17 257","18 830","20 402","21 730","5 530","21 153","23 428","25 703","27 375","5 915"
"164","British Virgin Islands","8 035","10 046","12 058","13 808","15 558","17 308_8 530_8 778","4 126","5 034","5 942","6 805","7 667","3 909","5 012","6 116","7 003","7 891"
"165","Cayman Islands","9 387","14 320","19 253","21 655","24 057","23 726_12 143_11 583","4 622","7 166","9 709","11 011","12 312","4 765","7 154","9 544","10 644","11 745"
"166","Cuba","34 555","26 187","17 818","17 023","14 818","13 336_5 950_7 386","17 278","12 559","7 840","7 540","6 611","17 277","13 628","9 978","9 483","8 207"
"167","Curaçao","..","..","..","..","34 627","37 611_15 467_22 144","..","..","..","..","14 195","..","..","..","..","20 432"
"168","Dominica","2 519","3 121","3 723","4 744","5 765","6 720_3 528_3 192","1 309","1 623","1 955","2 491","3 027","1 210","1 498","1 768","2 253","2 738"
"169","Dominican Republic","291 151","323 381","355 611","376 001","393 720","415 564_251 890_163 674","181 677","198 842","216 008","228 180","238 742","109 474","124 539","139 603","147 821","154 978"
"170","Grenada","4 263","5 544","6 825","6 902","6 980","7 057_3 502_3 555","2 106","2 746","3 386","3 424","3 463","2 157","2 798","3 439","3 478","3 517"
"171","Guadeloupe","65 944","74 566","83 188","89 065","94 942","98 507_43 858_54 649","32 718","36 248","39 778","41 273","42 768","33 226","38 318","43 410","47 792","52 174"
"172","Haiti","19 084","22 458","25 832","30 468","35 104","39 529_22 774_16 755","10 606","12 635","14 664","17 413","20 162","8 478","9 823","11 168","13 055","14 942"
"173","Jamaica","20 475","22 713","24 952","24 314","23 677","23 167_11 766_11 401","9 981","11 242","12 503","12 263","12 024","10 494","11 471","12 449","12 051","11 653"
"174","Martinique","38 705","46 599","54 492","57 034","59 575","61 731_26 989_34 742","19 091","22 271","25 451","25 891","26 330","19 614","24 328","29 041","31 143","33 245"
"175","Montserrat","2 013","1 612","1 211","1 244","1 277","1 351_696_655","1 029","825","622","639","657","984","787","589","605","620"
"176","Puerto Rico","321 909","338 067","355 038","352 144","304 969","274 972_128 261_146 711","153 354","160 739","168 480","166 780","142 939","168 555","177 328","186 558","185 364","162 030"
"177","Saint Kitts and Nevis","3 210","4 248","5 871","6 682","7 245","7 443_3 916_3 527","1 642","2 196","3 068","3 501","3 806","1 568","2 052","2 803","3 181","3 439"
"178","Saint Lucia","5 305","7 152","9 868","11 468","12 100","12 771_6 446_6 325","2 616","3 560","4 950","5 783","6 106","2 689","3 592","4 918","5 685","5 994"
"179","Saint Vincent and the Grenadines","3 970","4 135","4 307","4 395","4 485","4 577_2 237_2 340","1 928","2 011","2 099","2 144","2 190","2 042","2 124","2 208","2 251","2 295"
"180","Sint Maarten (Dutch part)","..","..","..","13 100","26 200","27 295_13 077_14 218","..","..","..","6 285","12 570","..","..","..","6 815","13 630"
"181","Trinidad and Tobago","50 666","45 994","41 753","44 812","48 226","49 883_24 326_25 557","23 528","21 303","19 288","20 647","23 152","27 138","24 691","22 465","24 165","25 074"
"182","Turks and Caicos Islands","5 062","7 039","9 015","9 945","10 875","11 688_6 047_5 641","2 620","3 643","4 665","5 146","5 627","2 442","3 396","4 350","4 799","5 248"
"183","United States Virgin Islands","51 970","54 241","56 611","56 647","56 684","56 721_26 728_29 993","24 824","25 760","26 730","26 726","26 722","27 146","28 481","29 881","29 921","29 962"
"184","Belize","30 404","33 446","36 488","41 424","46 360","53 860_27 092_26 768","16 393","17 512","18 631","21 045","23 459","14 011","15 934","17 857","20 379","22 901"
"185","Costa Rica","417 628","364 287","310 946","358 175","405 404","421 697_202 613_219 084","212 173","184 485","156 798","176 335","195 873","205 455","179 802","154 148","181 840","209 531"
"186","El Salvador","47 360","39 537","31 713","36 019","40 324","42 045_19 996_22 049","22 218","18 564","14 909","17 029","19 148","25 142","20 973","16 804","18 990","21 176"
"187","Guatemala","264 257","156 188","48 119","57 252","66 384","76 352_36 136_40 216","112 615","66 913","21 211","26 064","30 917","151 642","89 275","26 908","31 188","35 467"
"188","Honduras","270 423","149 442","28 461","27 875","27 288","28 070_14 826_13 244","137 573","76 077","14 581","14 444","14 306","132 850","73 365","13 880","13 431","12 982"
"189","Mexico","695 674","458 549","538 051","712 487","969 538","1 193 155_604 669_588 486","348 353","229 589","270 896","359 642","490 691","347 321","228 960","267 155","352 845","478 847"
"190","Nicaragua","41 421","26 619","30 389","34 918","37 333","40 262_20 723_19 539","20 860","13 364","15 423","17 773","19 128","20 561","13 255","14 966","17 145","18 205"
"191","Panama","62 744","70 848","83 410","117 563","157 309","184 710_94 841_89 869","33 148","36 740","42 437","59 812","80 931","29 596","34 108","40 973","57 751","76 378"
"192","Argentina","1 649 919","1 595 069","1 540 219","1 673 088","1 805 957","2 086 302_960 310_1 125 992","788 130","753 027","717 924","774 810","831 696","861 789","842 042","822 295","898 278","974 261"
"193","Bolivia (Plurinational State of)","73 758","83 598","92 658","107 745","122 846","142 989_74 939_68 050","37 549","42 806","47 665","56 019","64 380","36 209","40 792","44 993","51 726","58 466"
"194","Brazil","798 517","741 557","684 596","638 582","592 568","713 568_385 201_328 367","426 147","396 152","366 156","343 019","319 882","372 370","345 405","318 440","295 563","272 686"
"195","Chile","107 501","142 417","177 332","273 384","369 436","469 436_221 200_248 236","54 547","69 632","84 717","129 398","174 079","52 954","72 785","92 615","143 986","195 357"
"196","Colombia","104 277","106 943","109 609","107 612","124 271","133 134_70 912_62 222","53 109","54 666","56 223","55 706","65 622","51 168","52 277","53 386","51 906","58 649"
"197","Ecuador","78 663","115 093","151 523","187 404","325 366","387 513_200 352_187 161","38 531","57 879","77 227","96 188","167 773","40 132","57 214","74 296","91 216","157 593"
"198","Falkland Islands (Malvinas)","855","868","1 067","1 166","1 436","1 571_873_698","488","510","636","675","807","367","358","431","491","629"
"199","French Guiana","63 612","70 131","76 649","86 468","96 288","106 108_50 399_55 709","34 843","36 869","38 895","42 729","46 564","28 769","33 262","37 754","43 739","49 724"
"200","Guyana","4 095","6 352","8 610","10 868","13 126","15 384_8 229_7 155","2 200","3 405","4 611","5 817","7 023","1 895","2 947","3 999","5 051","6 103"
"201","Paraguay","195 884","186 570","176 608","168 243","160 299","156 462_81 303_75 159","102 816","97 869","92 052","87 698","83 394","93 068","88 701","84 556","80 545","76 905"
"202","Peru","65 025","56 732","66 293","77 541","84 066","90 881_45 805_45 076","32 538","28 061","32 955","38 746","42 204","32 487","28 671","33 338","38 795","41 862"
"203","Suriname","18 031","22 270","27 506","33 664","39 713","46 836_25 569_21 267","9 731","12 057","14 892","18 339","21 659","8 300","10 213","12 614","15 325","18 054"
"204","Uruguay","98 116","93 428","88 871","82 318","76 263","71 799_32 475_39 324","45 830","43 427","41 093","37 658","34 507","52 286","50 001","47 778","44 660","41 756"
"205","Venezuela (Bolivarian Republic of)","1 025 009","1 019 996","1 013 663","1 070 562","1 331 488","1 404 448_703 458_700 990","517 579","513 473","508 639","535 096","667 963","507 430","506 523","505 024","535 466","663 525"
"206","Bermuda","15 683","16 676","17 668","18 276","18 884","19 126_9 336_9 790","7 557","8 044","8 531","8 866","9 202","8 126","8 632","9 137","9 410","9 682"
"207","Canada","4 333 318","4 864 778","5 511 914","6 078 985","7 011 226","7 835 502_3 748 267_4 087 235","2 109 652","2 356 105","2 659 135","2 915 838","3 356 211","2 223 666","2 508 673","2 852 779","3 163 147","3 655 015"
"208","Greenland","9 416","7 320","6 755","6 686","6 226","6 009_3 951_2 058","6 565","5 011","4 723","4 549","4 210","2 851","2 309","2 032","2 137","2 016"
"209","Saint Pierre and Miquelon","1 099","1 320","1 458","1 147","1 017","986_516_470","560","682","756","597","531","539","638","702","550","486"
"210","United States of America","23 251 026","28 451 053","34 814 053","39 258 293","44 183 643","46 627 102_22 824 307_23 802 795","11 372 985","14 032 159","17 310 785","19 614 878","21 694 169","11 878 041","14 418 894","17 503 268","19 643 415","22 489 474"
"211","Oceania","4 730 858","5 022 263","5 360 027","6 023 421","7 125 364","8 100 886_3 999 552_4 101 334","2 415 042","2 535 448","2 676 143","2 988 897","3 538 376","2 315 816","2 486 815","2 683 884","3 034 524","3 586 988"
"212","Australia","3 955 213","4 153 330","4 386 250","4 878 030","5 882 980","6 763 663_3 337 580_3 426 083","2 013 196","2 093 280","2 189 900","2 419 190","2 922 030","1 942 017","2 060 050","2 196 350","2 458 840","2 960 950"
"213","New Zealand","518 047","588 617","678 813","839 952","947 443","1 039 736_502 787_536 949","258 223","289 230","329 927","407 690","459 047","259 824","299 387","348 886","432 262","488 396"
"214","Melanesia","90 210","96 828","94 078","103 878","105 684","109 595_61 813_47 782","50 143","54 089","52 701","58 643","59 426","40 067","42 739","41 377","45 235","46 258"
"215","Fiji","13 283","13 001","12 719","12 435","13 351","13 751_7 421_6 330","6 847","6 726","6 601","6 564","7 137","6 436","6 275","6 118","5 871","6 214"
"216","New Caledonia","37 673","43 662","49 651","55 405","61 158","64 290_34 621_29 669","20 885","23 908","26 932","29 909","32 886","16 788","19 754","22 719","25 496","28 272"
"217","Papua New Guinea","32 720","33 526","25 101","29 967","25 424","25 782_16 738_9 044","18 793","19 832","15 624","18 942","16 370","13 927","13 694","9 477","11 025","9 054"
"218","Solomon Islands","4 226","4 178","3 981","3 271","2 760","2 585_1 450_1 135","2 349","2 328","2 224","1 830","1 546","1 877","1 850","1 757","1 441","1 214"
"219","Vanuatu","2 308","2 461","2 626","2 800","2 991","3 187_1 583_1 604","1 269","1 295","1 320","1 398","1 487","1 039","1 166","1 306","1 402","1 504"
"220","Micronesia","108 969","118 687","130 186","128 390","116 245","115 772_58 613_57 159","60 858","63 046","64 928","63 769","58 535","48 111","55 641","65 258","64 621","57 710"
"221","Guam","69 755","71 912","74 070","74 743","75 416","76 089_39 246_36 843","39 364","38 822","38 280","38 602","38 924","30 391","33 090","35 790","36 141","36 492"
"222","Kiribati","2 162","2 223","2 283","2 487","2 868","3 153_1 662_1 491","1 107","1 139","1 188","1 312","1 512","1 055","1 084","1 095","1 175","1 356"
"223","Marshall Islands","1 158","1 480","1 891","2 417","3 089","3 284_2 011_1 273","721","916","1 164","1 485","1 895","437","564","727","932","1 194"
"224","Micronesia (Federated States of)","3 685","3 342","3 116","2 905","2 805","2 756_1 473_1 283","2 099","2 119","1 721","1 565","1 502","1 586","1 223","1 395","1 340","1 303"
"225","Nauru","2 815","2 605","2 394","2 253","2 112","3 178_1 907_1 271","1 506","1 395","1 283","1 208","1 133","1 309","1 210","1 111","1 045","979"
"226","Northern Mariana Islands","26 593","32 376","40 122","37 542","24 168","21 648_9 100_12 548","14 261","15 847","17 387","15 977","10 223","12 332","16 529","22 735","21 565","13 945"
"227","Palau","2 801","4 749","6 310","6 043","5 787","5 664_3 214_2 450","1 800","2 808","3 905","3 620","3 346","1 001","1 941","2 405","2 423","2 441"
"228","Polynesia","58 419","64 801","70 700","73 171","73 012","72 120_38 759_33 361","32 622","35 803","38 687","39 605","39 338","25 797","28 998","32 013","33 566","33 674"
"229","American Samoa","21 283","23 098","24 912","24 233","23 555","23 216_11 898_11 318","11 175","12 037","12 898","12 498","12 098","10 108","11 061","12 014","11 735","11 457"
"230","Cook Islands","2 587","2 686","2 785","3 277","3 769","4 152_2 078_2 074","1 443","1 497","1 552","1 724","1 895","1 144","1 189","1 233","1 553","1 874"
"231","French Polynesia","25 830","28 360","30 329","32 286","31 640","30 058_17 136_12 922","15 444","16 689","17 604","18 405","18 037","10 386","11 671","12 725","13 881","13 603"
"232","Niue","461","480","498","522","545","557_302_255","245","257","268","282","295","216","223","230","240","250"
"233","Samoa","3 357","4 694","5 998","5 746","5 122","4 929_2 469_2 460","1 771","2 451","3 101","2 940","2 594","1 586","2 243","2 897","2 806","2 528"
"234","Tokelau","270","266","262","258","429","487_233_254","150","147","144","133","206","120","119","118","125","223"
"235","Tonga","2 911","3 274","3 684","4 301","5 022","5 731_3 127_2 604","1 488","1 718","1 981","2 328","2 727","1 423","1 556","1 703","1 973","2 295"
"236","Tuvalu","318","263","217","183","154","141_78_63","180","148","121","101","85","138","115","96","82","69"
"237","Wallis and Futuna Islands","1 402","1 680","2 015","2 365","2 776","2 849_1 438_1 411","726","859","1 018","1 194","1 401","676","821","997","1 171","1 375"
